timestamp,machine,fonte,temperature,vibration,current,rotation,flow,humidity,gas,status_code
2026-09-23T22:27:51+00:00,M01,simulado,70.0,2.2,7.5,3498.0,29.6,27.8,,0
2026-09-23T22:28:01+00:00,M01,simulado,69.9,2.4,7.7,3497.0,29.9,28.3,,0
2026-09-23T22:28:11+00:00,M01,simulado,70.0,2.4,7.5,3491.0,29.8,27.2,,0
2026-09-23T22:28:21+00:00,M01,simulado,69.9,2.4,7.7,3489.0,30.5,27.0,,0
2026-09-23T22:28:31+00:00,M01,simulado,70.0,2.4,7.8,3496.0,31.0,29.1,,0
2026-09-23T22:28:41+00:00,M01,simulado,70.1,2.3,7.6,3520.0,31.1,28.0,,0
2026-09-23T22:28:51+00:00,M01,simulado,70.0,2.5,7.9,3504.0,32.0,27.5,,0
2026-09-23T22:29:01+00:00,M01,simulado,70.2,2.6,7.8,3519.0,32.7,28.1,,0
2026-09-23T22:29:11+00:00,M01,simulado,70.1,2.6,7.8,3527.0,33.0,27.4,,0
2026-09-23T22:29:21+00:00,M01,simulado,70.0,2.4,7.6,3502.0,33.1,30.3,,0
2026-09-23T22:29:31+00:00,M01,simulado,70.1,2.6,7.5,3492.0,32.4,27.9,,0
2026-09-23T22:29:41+00:00,M01,simulado,70.0,2.6,7.2,3494.0,32.7,26.9,,0
2026-09-23T22:29:51+00:00,M01,simulado,70.1,2.6,7.0,3480.0,33.3,28.3,,0
2026-09-23T22:30:01+00:00,M01,simulado,70.0,2.4,6.8,3470.0,33.0,26.6,,0
2026-09-23T22:30:11+00:00,M01,simulado,70.0,2.4,7.0,3489.0,33.0,28.6,,0
2026-09-23T22:30:21+00:00,M01,simulado,70.0,2.3,7.2,3483.0,33.5,27.2,,0
2026-09-23T22:30:31+00:00,M01,simulado,70.0,2.2,6.9,3478.0,33.8,26.8,,0
2026-09-23T22:30:41+00:00,M01,simulado,70.2,2.2,7.2,3488.0,33.9,27.1,,0
2026-09-23T22:30:51+00:00,M01,simulado,70.2,2.2,7.4,3494.0,33.8,29.0,,0
2026-09-23T22:31:01+00:00,M01,simulado,70.3,2.0,7.1,3477.0,34.5,27.9,,0
2026-09-23T22:31:11+00:00,M01,simulado,70.4,1.9,7.2,3488.0,34.2,28.9,,0
2026-09-23T22:31:21+00:00,M01,simulado,70.2,1.9,7.1,3468.0,34.3,27.0,,0
2026-09-23T22:31:31+00:00,M01,simulado,70.3,1.6,6.8,3455.0,35.0,27.9,,0
2026-09-23T22:31:41+00:00,M01,simulado,70.1,1.7,7.1,3454.0,35.0,28.0,,0
2026-09-23T22:31:51+00:00,M01,simulado,70.0,1.9,7.2,3476.0,34.7,27.6,,0
2026-09-23T22:32:01+00:00,M01,simulado,70.2,1.9,7.0,3464.0,35.0,27.3,,0
2026-09-23T22:32:11+00:00,M01,simulado,70.0,1.8,7.2,3456.0,34.8,28.5,,0
2026-09-23T22:32:21+00:00,M01,simulado,70.1,1.7,6.9,3449.0,35.1,30.1,,0
2026-09-23T22:32:31+00:00,M01,simulado,70.2,2.0,6.7,3465.0,34.7,27.6,,0
2026-09-23T22:32:41+00:00,M01,simulado,70.3,2.2,6.7,3459.0,34.4,28.1,,0
2026-09-23T22:32:51+00:00,M01,simulado,70.1,2.4,6.5,3467.0,34.9,27.5,,0
